label	IsolateName	HostLevel1	name_host	Host	LocationLLev1	Location	name	clade	date
A/chicken/Cameroon/16V04357/2016|2016|Cameroon|Avian	A/chicken/Cameroon/16V04357/2016	Avian	chicken	Terrestrial poultry	Cameroon	Africa	A/chicken/Cameroon/16V04357/2016|EPI_ISL_327780|A_/_H5N1||2016-09-01	2.3.2.1f	2016
A/chicken/Cameroon/16V3771/2016|2016|Cameroon|Avian	A/chicken/Cameroon/16V3771/2016	Avian	chicken	Terrestrial poultry	Cameroon	Africa	A/chicken/Cameroon/16V3771/2016|EPI_ISL_327781|A_/_H5N1||2016-09-01	2.3.2.1f	2016
A/chicken/Cameroon/16VIR3791-12/2016|2016-05-23|Cameroon|Avian	A/chicken/Cameroon/16VIR3791-12/2016	Avian	chicken	Terrestrial poultry	Cameroon	Africa	A/chicken/Cameroon/16VIR3791-12/2016|EPI_ISL_305599|A_/_H5N1||2016-05-23	2.3.2.1f	5/23/2016
A/duck/Cameroon/16VIR3791-21/2016|2016-05-30|Cameroon|Avian	A/duck/Cameroon/16VIR3791-21/2016	Avian	duck	Duck	Cameroon	Africa	A/duck/Cameroon/16VIR3791-21/2016|EPI_ISL_305601|A_/_H5N1||2016-05-30	2.3.2.1f	5/30/2016
A/CHICKEN/Hunan/240/2010|2010-01-01|China|Avian	A/CHICKEN/Hunan/240/2010	Avian	CHICKEN	Terrestrial poultry	China	China	A/CHICKEN/Hunan/240/2010|EPI_ISL_4055500|A_/_H5N1||2010-01-01	2.3.2.1c-like	1/1/2010
A/CHICKEN/Hunan/354/2010|2010-01-01|China|Avian	A/CHICKEN/Hunan/354/2010	Avian	CHICKEN	Terrestrial poultry	China	China	A/CHICKEN/Hunan/354/2010|EPI_ISL_4055493|A_/_H5N1||2010-01-01	2.3.2.1c-like	1/1/2010
A/DUCK/Hunan/183/2010|2010-01-01|China|Avian	A/DUCK/Hunan/183/2010	Avian	DUCK	Duck	China	China	A/DUCK/Hunan/183/2010|EPI_ISL_4055379|A_/_H5N1||2010-01-01	2.3.2.1b	1/1/2010
A/DUCK/Hunan/251/2010|2010-01-01|China|Avian	A/DUCK/Hunan/251/2010	Avian	DUCK	Duck	China	China	A/DUCK/Hunan/251/2010|EPI_ISL_4055335|A_/_H5N1||2010-01-01	2.3.2.1c-like	1/1/2010
A/DUCK/Hunan/57/2010|2010-01-01|China|Avian	A/DUCK/Hunan/57/2010	Avian	DUCK	Duck	China	China	A/DUCK/Hunan/57/2010|EPI_ISL_4055277|A_/_H5N1||2010-01-01	2.3.2.1c-like	1/1/2010
A/DUCK/Hunan/23/2011|2011-01-01|China|Avian	A/DUCK/Hunan/23/2011	Avian	DUCK	Duck	China	China	A/DUCK/Hunan/23/2011|EPI_ISL_4055147|A_/_H5N1||2011-01-01	2.3.2.1c-like	1/1/2011
A/duck/Zhejiang/224/2011|2011-02-01|China|Avian	A/duck/Zhejiang/224/2011	Avian	duck	Duck	China	China	A/duck/Zhejiang/224/2011|EPI_ISL_96859|A_/_H5N1||2011-02-01	2.3.2.1b	2/1/2011
A/duck/Zhejiang/2244/2011|2011-02-01|China|Avian	A/duck/Zhejiang/2244/2011	Avian	duck	Duck	China	China	A/duck/Zhejiang/2244/2011|EPI_ISL_96862|A_/_H5N1||2011-02-01	2.3.2.1b	2/1/2011
A/duck/Zhejiang/2248/2011|2011-02-01|China|Avian	A/duck/Zhejiang/2248/2011	Avian	duck	Duck	China	China	A/duck/Zhejiang/2248/2011|EPI_ISL_96864|A_/_H5N1||2011-02-01	2.3.2.1b	2/1/2011
A/wild_duck/Shandong/2/2011|2011-04-13|China|Avian	A/wild_duck/Shandong/2/2011	Avian	wild_duck	Wild birds	China	China	A/wild_duck/Shandong/2/2011|EPI_ISL_148125|A_/_H5N1||2011-04-13	2.3.2.1c-like	4/13/2011
A/chicken/Jiangxi/25/2011|2011-12-03|China|Avian	A/chicken/Jiangxi/25/2011	Avian	chicken	Terrestrial poultry	China	China	A/chicken/Jiangxi/25/2011|EPI_ISL_369824|A_/_H5N1||2011-12-03	2.3.2.1b	12/3/2011
A/duck/Jiangxi/34/2011|2011-12-03|China|Avian	A/duck/Jiangxi/34/2011	Avian	duck	Duck	China	China	A/duck/Jiangxi/34/2011|EPI_ISL_369827|A_/_H5N1||2011-12-03	2.3.2.1b	12/3/2011
A/duck/Jiangxi/35/2011|2011-12-03|China|Avian	A/duck/Jiangxi/35/2011	Avian	duck	Duck	China	China	A/duck/Jiangxi/35/2011|EPI_ISL_369828|A_/_H5N1||2011-12-03	2.3.2.1b	12/3/2011
A/duck/Jiangxi/44/2011|2011-12-03|China|Avian	A/duck/Jiangxi/44/2011	Avian	duck	Duck	China	China	A/duck/Jiangxi/44/2011|EPI_ISL_369829|A_/_H5N1||2011-12-03	2.3.2.1b	12/3/2011
A/duck/China/E26/2012|2012-05-09|China|Avian	A/duck/China/E26/2012	Avian	duck	Duck	China	China	A/duck/China/E26/2012|EPI_ISL_278504|A_/_H5N1||2012-05-09	2.3.2.1c-like	5/9/2012
A/goose/China/E43/2012|2012-05-19|China|Avian	A/goose/China/E43/2012	Avian	goose	Goose	China	China	A/goose/China/E43/2012|EPI_ISL_278505|A_/_H5N1||2012-05-19	2.3.2.1b	5/19/2012
A/tiger/Jiangsu/01/2013|2013-01-20|China|Tiger	A/tiger/Jiangsu/01/2013	Tiger	tiger	Mammal	China	China	A/tiger/Jiangsu/01/2013|EPI_ISL_151134|A_/_H5N1||2013-01-20	2.3.2.1f	1/20/2013
A/chicken/Wuxi/WX-32/2013|2013-04-01|China|Avian	A/chicken/Wuxi/WX-32/2013	Avian	chicken	Terrestrial poultry	China	China	A/chicken/Wuxi/WX-32/2013|EPI_ISL_376084|A_/_H5N1||2013-04-01	2.3.2.1f	4/1/2013
A/chicken/Wuxi/WX-33/2013|2013-05-01|China|Avian	A/chicken/Wuxi/WX-33/2013	Avian	chicken	Terrestrial poultry	China	China	A/chicken/Wuxi/WX-33/2013|EPI_ISL_376085|A_/_H5N1||2013-05-01	2.3.2.1f	5/1/2013
A/chicken/Jiangsu/927/2013|2013-11-18|China|Avian	A/chicken/Jiangsu/927/2013	Avian	chicken	Terrestrial poultry	China	China	A/chicken/Jiangsu/927/2013|EPI_ISL_190702|A_/_H5N1||2013-11-18	2.3.2.1f	11/18/2013
A/environment/Changsha/15/2014|2014-02-08|China|Environment	A/environment/Changsha/15/2014	Environment	environment	Environment	China	China	A/environment/Changsha/15/2014|EPI_ISL_256286|A_/_H5N1||2014-02-08	2.3.2.1e	2/8/2014
A/environment/Changsha/115/2014|2014-03-11|China|Environment	A/environment/Changsha/115/2014	Environment	environment	Environment	China	China	A/environment/Changsha/115/2014|EPI_ISL_256288|A_/_H5N1||2014-03-11	2.3.2.1e	3/11/2014
A/environment/Changsha/116/2014|2014-03-11|China|Environment	A/environment/Changsha/116/2014	Environment	environment	Environment	China	China	A/environment/Changsha/116/2014|EPI_ISL_256289|A_/_H5N1||2014-03-11	2.3.2.1e	3/11/2014
A/goose/Yangzhou/0403/2014|2014-04-03|China|Avian	A/goose/Yangzhou/0403/2014	Avian	goose	Goose	China	China	A/goose/Yangzhou/0403/2014|EPI_ISL_295142|A_/_H5N1||2014-04-03	2.3.2.1f	4/3/2014
A/chicken/Jiangsu/2477/2014|2014-06-17|China|Avian	A/chicken/Jiangsu/2477/2014	Avian	chicken	Terrestrial poultry	China	China	A/chicken/Jiangsu/2477/2014|EPI_ISL_190703|A_/_H5N1||2014-06-17	2.3.2.1f	6/17/2014
A/goose/Zhejiang/727098/2014|2014-07-27|China|Avian	A/goose/Zhejiang/727098/2014	Avian	goose	Goose	China	China	A/goose/Zhejiang/727098/2014|EPI_ISL_203730|A_/_H5N1||2014-07-27	2.3.2.1f	7/27/2014
A/pigeon/Zhejiang/727097/2014|2014-07-27|China|Avian	A/pigeon/Zhejiang/727097/2014	Avian	pigeon	Wild birds	China	China	A/pigeon/Zhejiang/727097/2014|EPI_ISL_203754|A_/_H5N1||2014-07-27	2.3.2.1f	7/27/2014
A/goose/Zhejiang/112071/2014|2014-11-20|China|Avian	A/goose/Zhejiang/112071/2014	Avian	goose	Goose	China	China	A/goose/Zhejiang/112071/2014|EPI_ISL_203729|A_/_H5N1||2014-11-20	2.3.2.1f	11/20/2014
A/pigeon/Zhejiang/112089/2014|2014-11-20|China|Avian	A/pigeon/Zhejiang/112089/2014	Avian	pigeon	Wild birds	China	China	A/pigeon/Zhejiang/112089/2014|EPI_ISL_203755|A_/_H5N1||2014-11-20	2.3.2.1f	11/20/2014
A/pigeon/Zhejiang/112090/2014|2014-11-20|China|Avian	A/pigeon/Zhejiang/112090/2014	Avian	pigeon	Wild birds	China	China	A/pigeon/Zhejiang/112090/2014|EPI_ISL_203756|A_/_H5N1||2014-11-20	2.3.2.1f	11/20/2014
A/duck/Wenzhou/HAYXLG10/2015|2015-01-01|China|Avian	A/duck/Wenzhou/HAYXLG10/2015	Avian	duck	Duck	China	China	A/duck/Wenzhou/HAYXLG10/2015|EPI_ISL_205113|A_/_H5N1||2015-01-01	2.3.2.1d	1/1/2015
A/swine/Zhejiang/SW57/2015|2015-01-01|China|Swine	A/swine/Zhejiang/SW57/2015	Swine	swine	Mammal	China	China	A/swine/Zhejiang/SW57/2015|EPI_ISL_393329|A_/_H5N1||2015-01-01	2.3.2.1f	1/1/2015
A/wild_bird/Jiangsu/H102/2015|2015-04-05|China|Avian	A/wild_bird/Jiangsu/H102/2015	Avian	wild_bird	Wild birds	China	China	A/wild_bird/Jiangsu/H102/2015|EPI_ISL_252515|A_/_H5N1||2015-04-05	2.3.2.1d	4/5/2015
A/wild_bird/Jiangsu/H220/2015|2015-04-05|China|Avian	A/wild_bird/Jiangsu/H220/2015	Avian	wild_bird	Wild birds	China	China	A/wild_bird/Jiangsu/H220/2015|EPI_ISL_252512|A_/_H5N1||2015-04-05	2.3.2.1d	4/5/2015
A/wild_bird/Jiangsu/H416/2015|2015-04-05|China|Avian	A/wild_bird/Jiangsu/H416/2015	Avian	wild_bird	Wild birds	China	China	A/wild_bird/Jiangsu/H416/2015|EPI_ISL_252509|A_/_H5N1||2015-04-05	2.3.2.1d	4/5/2015
A/wild_bird/Jiangsu/H59/2015|2015-04-05|China|Avian	A/wild_bird/Jiangsu/H59/2015	Avian	wild_bird	Wild birds	China	China	A/wild_bird/Jiangsu/H59/2015|EPI_ISL_252516|A_/_H5N1||2015-04-05	2.3.2.1d	4/5/2015
A/mink/China/XB/2015|2015-06-30|China|Mink	A/mink/China/XB/2015	Mink	mink	Mammal	China	China	A/mink/China/XB/2015|EPI_ISL_243348|A_/_H5N1||2015-06-30	2.3.2.1d	6/30/2015
